subid,age,sex,meanFD
sub-CCNPPEK0001,8.7,2,0.088686
sub-CCNPPEK0002,6.2,2,0.1400315
sub-CCNPPEK0004,6.9,2,0.1636535
sub-CCNPPEK0005,13.8,1,0.2121305
sub-CCNPPEK0007,9.8,2,0.08632
sub-CCNPPEK0008,6,2,0.263403
sub-CCNPPEK0009,9.3,1,0.214463
sub-CCNPPEK0011,11.2,1,0.1059125
sub-CCNPPEK0013,9.1,1,0.1596775
sub-CCNPPEK0015,9.8,2,0.1175565
sub-CCNPPEK0017,9.4,2,0.1485555
sub-CCNPPEK0018,7,2,0.1539065
sub-CCNPPEK0019,7.5,1,0.159689
sub-CCNPPEK0022,13,2,0.306636
sub-CCNPPEK0023,10.5,1,0.211625
sub-CCNPPEK0024,8.7,2,0.283132
sub-CCNPPEK0025,6.9,1,0.114762
sub-CCNPPEK0026,9.2,1,0.1636415
sub-CCNPPEK0028,13.3,2,0.1590745
sub-CCNPPEK0029,8.9,2,0.19902
sub-CCNPPEK0030,9.6,1,0.1797305
sub-CCNPPEK0031,6.6,2,0.258343
sub-CCNPPEK0033,11.3,2,0.060072
sub-CCNPPEK0034,11.3,2,0.084249
sub-CCNPPEK0035,12.7,2,0.096304
sub-CCNPPEK0036,11.3,2,0.1435185
sub-CCNPPEK0037,11.2,2,0.077425
sub-CCNPPEK0038,9.3,1,0.0957695
sub-CCNPPEK0040,7.2,1,0.132183
sub-CCNPPEK0041,11.9,1,0.21133
sub-CCNPPEK0042,12.2,1,0.342295
sub-CCNPPEK0044,7.8,1,0.246481
sub-CCNPPEK0045,12.1,2,0.120878
sub-CCNPPEK0048,14.5,2,0.0820145
sub-CCNPPEK0049,17.4,2,0.0627995
sub-CCNPPEK0051,18.8,2,0.061771
sub-CCNPPEK0053,9.9,2,0.3264095
sub-CCNPPEK0054,11.4,2,0.0739195
sub-CCNPPEK0055,18.2,2,0.1014045
sub-CCNPPEK0056,8.9,2,0.1112095
sub-CCNPPEK0059,10.1,2,0.104762
sub-CCNPPEK0060,17.7,1,0.192346
sub-CCNPPEK0061,17.4,1,0.100829
sub-CCNPPEK0062,6.4,1,0.0937835
sub-CCNPPEK0064,8.9,2,0.0717205
sub-CCNPPEK0065,11.9,2,0.08386
sub-CCNPPEK0067,8.9,2,0.099462
sub-CCNPPEK0068,6.5,1,0.2423915
sub-CCNPPEK0069,6.5,1,0.1257265
sub-CCNPPEK0070,16.8,2,0.072254
sub-CCNPPEK0071,9.7,1,0.20168
sub-CCNPPEK0072,6.3,2,0.090238
sub-CCNPPEK0073,9.3,1,0.115869
sub-CCNPPEK0074,13,1,0.178433
sub-CCNPPEK0075,15.1,1,0.081923
sub-CCNPPEK0076,7.4,2,0.0909865
sub-CCNPPEK0078,11.8,1,0.0712045
sub-CCNPPEK0079,9.6,2,0.146035
sub-CCNPPEK0080,6,1,0.179288
sub-CCNPPEK0082,7.4,2,0.1187815
sub-CCNPPEK0083,7.6,2,0.160345
sub-CCNPPEK0084,9.3,2,0.1371795
sub-CCNPPEK0085,10.4,1,0.1550345
sub-CCNPPEK0086,6.6,1,0.115795
sub-CCNPPEK0087,7.1,1,0.1479515
sub-CCNPPEK0088,7.3,1,0.124376
sub-CCNPPEK0090,11,1,0.0934835
sub-CCNPPEK0091,8.1,1,0.117053
sub-CCNPPEK0093,7.4,1,0.111723
sub-CCNPPEK0095,8.9,2,0.0855415
sub-CCNPPEK0097,7.2,1,0.258714
sub-CCNPPEK0099,13.4,1,0.1027115
sub-CCNPPEK0100,9.9,1,0.206118
sub-CCNPPEK0103,7.7,1,0.1182595
sub-CCNPPEK0104,9.1,1,0.096172
sub-CCNPPEK0105,9,1,0.1270745
sub-CCNPPEK0107,8.6,2,0.07214
sub-CCNPPEK0109,10.5,2,0.2238985
sub-CCNPPEK0110,18.9,2,0.102116
sub-CCNPPEK0111,10.1,1,0.1476495
sub-CCNPPEK0112,7.5,2,0.251887
sub-CCNPPEK0113,9.1,2,0.111211
sub-CCNPPEK0114,12.6,1,0.1488055
sub-CCNPPEK0115,10.2,2,0.1894415
sub-CCNPPEK0116,10.2,2,0.3169805
sub-CCNPPEK0117,10.3,2,0.1748655
sub-CCNPPEK0118,6.5,2,0.0715595
sub-CCNPPEK0119,6.7,2,0.2708265
sub-CCNPPEK0120,9.3,1,0.2507945
sub-CCNPPEK0121,6.2,1,0.1973245
sub-CCNPPEK0123,8.1,2,0.0680135
sub-CCNPPEK0124,8.6,1,0.193099
sub-CCNPPEK0127,10.4,1,0.1381825
sub-CCNPPEK0129,10,1,0.137102
sub-CCNPPEK0130,9.6,1,0.198634
sub-CCNPPEK0132,12.5,1,0.107514
sub-CCNPPEK0134,10,2,0.256438
sub-CCNPPEK0135,9.8,2,0.126748
sub-CCNPPEK0136,14.3,2,0.080294
sub-CCNPPEK0137,12.7,2,0.0836745
sub-CCNPPEK0138,15.4,2,0.210487
sub-CCNPPEK0139,7.4,2,0.1531865
sub-CCNPPEK0140,16.6,1,0.237376
sub-CCNPPEK0142,7.3,1,0.2287605
sub-CCNPPEK0144,7.2,2,0.2142565
sub-CCNPPEK0145,7.5,1,0.1412445
sub-CCNPPEK0146,7.1,2,0.3202105
sub-CCNPPEK0148,6.4,1,0.184228
sub-CCNPPEK0149,7.7,1,0.093802
sub-CCNPPEK0151,11.4,1,0.0945385
sub-CCNPPEK0154,15.5,1,0.126041
sub-CCNPPEK0155,10.8,1,0.2508815
sub-CCNPPEK0156,11.6,2,0.085636
sub-CCNPPEK0158,7.1,1,0.167693
sub-CCNPPEK0159,10.6,1,0.1920615
sub-CCNPPEK0161,10.5,2,0.1712825
sub-CCNPPEK0162,7.9,2,0.1422525
sub-CCNPPEK0163,8.2,2,0.191092
sub-CCNPPEK0164,8.9,2,0.1167335
